,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,정렬,출장,이닝,RE24 세부,RE24 세부,RE24,REW,WPA 세부,WPA 세부,WPA 세부,WPA 세부,WPA,pLI,WPA/LI,Clutch,Unnamed: 18_level_1,Unnamed: 19_level_1,Unnamed: 20_level_1,Unnamed: 21_level_1,Unnamed: 22_level_1,Unnamed: 23_level_1,Unnamed: 24_level_1,Unnamed: 25_level_1,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1
,순,이름,팀,WPA,출장,이닝,타격,주루,RE24,REW,타격,주루,Plus,Minus,WPA,pLI,WPA/LI,Clutch,Unnamed: 18_level_2,Unnamed: 19_level_2,Unnamed: 20_level_2,Unnamed: 21_level_2,Unnamed: 22_level_2,Unnamed: 23_level_2,Unnamed: 24_level_2,Unnamed: 25_level_2,Unnamed: 26_level_2,Unnamed: 27_level_2,Unnamed: 28_level_2,Unnamed: 29_level_2,Unnamed: 30_level_2,Unnamed: 31_level_2,Unnamed: 32_level_2,Unnamed: 33_level_2,Unnamed: 34_level_2,Unnamed: 35_level_2
74,63,넥센,17,-12.17,554,1271.0,-57.84,-4.05,-61.89,-5.63,-11.69,-0.48,93.21,-105.38,-12.17,0.95,-12.06,-0.80,,,,,,,,,,,,,,,,,,
75,64,KIA,16,-12.19,635,1276.0,-63.93,-23.13,-87.06,-7.63,-8.94,-3.24,96.34,-108.53,-12.19,1.00,-14.94,2.73,,,,,,,,,,,,,,,,,,
76,65,한화,20,-12.46,705,1265.0,-98.42,-22.92,-121.34,-11.29,-10.12,-2.34,86.53,-98.99,-12.46,0.91,-16.63,2.87,,,,,,,,,,,,,,,,,,
77,66,롯데,15,-12.54,618,1281.1,-81.36,-17.63,-98.98,-9.07,-10.65,-1.89,91.20,-103.74,-12.54,0.96,-12.85,-0.21,,,,,,,,,,,,,,,,,,
78,67,넥센,18,-12.66,591,1282.0,-66.77,-6.93,-73.70,-6.51,-11.25,-1.43,94.95,-107.61,-12.66,0.97,-9.53,-3.51,,,,,,,,,,,,,,,,,,
79,68,넥센,15,-12.81,587,1286.0,-77.07,-9.63,-86.70,-7.94,-11.50,-1.31,89.73,-102.53,-12.81,0.94,-11.22,-2.37,,,,,,,,,,,,,,,,,,
80,69,두산,14,-12.86,564,1123.2,-95.45,-18.42,-113.87,-9.98,-11.06,-1.80,78.86,-91.72,-12.86,0.93,-11.67,-2.10,,,,,,,,,,,,,,,,,,
81,70,롯데,19,-12.89,664,1270.1,-42.94,-23.77,-66.72,-6.79,-10.75,-2.12,88.60,-101.49,-12.89,0.94,-10.32,-3.35,,,,,,,,,,,,,,,,,,
82,71,LG,16,-13.17,676,1287.2,-82.67,-17.77,-100.45,-8.80,-11.56,-1.61,96.97,-110.14,-13.17,1.01,-13.09,0.07,,,,,,,,,,,,,,,,,,
83,72,한화,15,-14.97,672,1279.2,-67.56,-28.37,-95.93,-8.79,-12.21,-2.76,91.29,-106.26,-14.97,0.95,-14.23,-1.57,,,,,,,,,,,,,,,,,,
84,73,KIA,14,-15.93,507,1121.2,-156.52,-16.54,-173.06,-15.17,-14.09,-1.84,80.86,-96.78,-15.93,0.96,-17.55,1.02,,,,,,,,,,,,,,,,,,
85,74,롯데,18,-16.10,686,1283.2,-111.70,-23.80,-135.50,-11.96,-13.62,-2.49,93.57,-109.67,-16.10,0.97,-15.55,-1.00,,,,,,,,,,,,,,,,,,
86,75,LG,18,-17.54,601,1268.2,-107.46,-12.10,-119.56,-10.55,-16.19,-1.35,87.63,-105.17,-17.54,0.92,-15.38,-3.63,,,,,,,,,,,,,,,,,,
87,76,SK,14,-18.10,556,1129.1,-119.87,-20.94,-140.81,-12.34,-16.23,-1.87,79.08,-97.18,-18.10,0.95,-14.57,-4.49,,,,,,,,,,,,,,,,,,
88,77,한화,17,-18.16,634,1273.0,-93.53,-22.80,-116.33,-10.57,-15.04,-3.13,89.42,-107.58,-18.16,0.96,-14.96,-3.95,,,,,,,,,,,,,,,,,,
89,78,SK,20,-18.95,686,1259.1,-136.33,-15.10,-151.43,-14.09,-17.11,-1.85,86.80,-105.75,-18.95,0.93,-16.03,-4.48,,,,,,,,,,,,,,,,,,
90,79,한화,16,-19.05,680,1292.2,-183.05,-12.83,-195.88,-17.17,-16.71,-2.35,92.50,-111.55,-19.05,0.96,-19.76,-0.04,,,,,,,,,,,,,,,,,,
91,80,KIA,18,-19.08,575,1270.2,-112.74,-11.32,-124.06,-10.95,-17.83,-1.23,89.27,-108.35,-19.08,0.95,-15.95,-4.16,,,,,,,,,,,,,,,,,,
