,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,정렬,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,비율,비율,비율,비율,비율,WAR,WPA,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1
,순,이름,팀,WAR,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA,Unnamed: 33_level_2,Unnamed: 34_level_2,Unnamed: 35_level_2
86,75,한화,15,11.91,672,5,3,144,68,76,32,44,1279.2,800,727,5771,1349,232,12,157,648,38,96,920,9,85,5.11,5.43,1.56,97.4,90.9,11.91,-14.97,,,
87,76,롯데,19,11.80,664,1,1,144,48,93,16,47,1270.1,764,688,5726,1405,241,20,120,546,33,71,1032,4,103,4.87,4.39,1.54,86.0,95.6,11.80,-12.89,,,
88,77,한화,19,11.57,649,2,0,144,58,86,28,43,1268.2,737,679,5655,1407,238,19,120,526,9,72,934,4,66,4.82,4.55,1.52,86.0,91.4,11.57,-6.91,,,
89,78,삼성,19,11.40,627,4,4,144,60,83,29,60,1275.1,731,658,5638,1332,254,36,125,523,9,70,924,5,49,4.64,4.60,1.46,93.5,92.7,11.40,-6.64,,,
90,79,한화,14,11.26,530,2,1,130,49,77,26,30,1129.0,889,800,5312,1451,264,48,162,537,14,81,748,3,83,6.38,6.00,1.76,85.1,88.0,11.26,-23.12,,,
91,80,롯데,16,11.08,668,2,1,144,66,78,27,59,1266.1,865,792,5785,1486,276,32,161,585,27,78,1009,5,82,5.63,5.36,1.64,92.8,97.5,11.08,-20.15,,,
92,81,NC,18,10.98,622,1,0,144,58,85,24,51,1264.0,844,773,5701,1443,248,20,186,537,17,68,1010,6,92,5.50,5.54,1.57,94.3,94.9,10.98,-19.46,,,
93,82,롯데,21,10.90,732,1,1,144,65,71,37,76,1271.0,808,760,5759,1333,253,16,133,657,19,89,1055,5,102,5.38,4.75,1.57,84.5,94.0,10.90,-7.04,,,
94,83,SSG,21,10.43,660,0,0,144,66,64,25,56,1276.2,741,687,5706,1296,214,14,149,630,27,77,1012,9,41,4.84,4.86,1.51,92.6,93.5,10.43,-9.41,,,
95,84,한화,21,9.97,717,1,0,144,49,83,21,62,1258.2,739,654,5672,1208,223,19,115,673,23,101,1011,11,56,4.68,4.70,1.49,93.7,94.8,9.97,-6.54,,,
96,85,kt,16,8.82,693,1,1,144,53,89,27,48,1273.0,927,839,5896,1593,315,38,145,560,9,84,980,9,77,5.93,5.23,1.69,88.1,99.9,8.82,-19.72,,,
97,86,두산,22,8.53,670,0,0,144,60,82,32,68,1279.1,721,634,5700,1335,206,19,117,555,11,70,977,5,70,4.46,4.44,1.48,89.2,89.4,8.53,-7.30,,,
98,87,SK,20,8.35,686,1,0,144,51,92,20,53,1259.1,846,783,5727,1343,225,17,162,670,12,84,953,5,85,5.60,5.48,1.60,86.2,88.9,8.35,-18.95,,,
99,88,삼성,17,6.74,613,1,0,144,55,84,27,34,1281.1,911,840,5916,1541,281,28,187,548,15,118,1063,4,74,5.90,5.50,1.63,86.0,91.7,6.74,-20.24,,,
100,89,한화,22,6.62,749,1,0,144,46,95,25,81,1268.1,759,679,5710,1315,268,22,112,602,39,83,974,4,65,4.82,4.48,1.51,84.0,91.1,6.62,-11.27,,,
