,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록,리그 기록
,순,이름,팀,가치,출장,이닝,구종 가치,구종 가치,구종 가치,구종 가치,구종 가치,구종 가치,구종 가치,구종 가치,구종 가치/100,구종 가치/100,구종 가치/100,구종 가치/100,구종 가치/100,구종 가치/100,구종 가치/100,구종 가치/100,Unnamed: 22_level_1,Unnamed: 23_level_1,Unnamed: 24_level_1,Unnamed: 25_level_1,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1
,순,이름,팀,직구,출장,이닝,직구,슬라,커브,첸졉,스플,싱커,너클,기타,직구,슬라,커브,첸졉,스플,싱커,너클,기타,Unnamed: 22_level_2,Unnamed: 23_level_2,Unnamed: 24_level_2,Unnamed: 25_level_2,Unnamed: 26_level_2,Unnamed: 27_level_2,Unnamed: 28_level_2,Unnamed: 29_level_2,Unnamed: 30_level_2,Unnamed: 31_level_2,Unnamed: 32_level_2,Unnamed: 33_level_2,Unnamed: 34_level_2,Unnamed: 35_level_2
70,59,한화,21,-51.7,717,1258.2,-51.7,13.9,-3.6,1.6,15.9,-3.2,0.0,0.0,-0.42,0.33,-0.16,0.06,1.17,-2.34,,,,,,,,,,,,,,,,
71,60,LG,16,-53.1,676,1287.2,-53.1,-5.3,-13.0,8.4,-8.0,-5.9,0.0,-6.1,-0.52,-0.12,-0.52,0.43,-0.75,-0.34,,-0.05,,,,,,,,,,,,,,
72,61,롯데,19,-55.1,664,1270.1,-55.1,8.9,1.4,4.6,9.9,-4.4,0.0,0.0,-0.65,0.21,0.05,0.41,0.44,-0.24,,,,,,,,,,,,,,,,
73,62,SK,16,-56.0,600,1274.0,-56.0,13.6,-5.0,12.1,-8.1,-10.4,0.1,-3.4,-0.52,0.39,-0.23,0.81,-0.60,-0.63,1.43,-0.02,,,,,,,,,,,,,,
74,63,넥센,15,-56.3,587,1286.0,-56.3,-18.4,-18.3,-5.9,22.1,0.6,0.0,-0.3,-0.46,-0.37,-1.01,-0.54,1.38,0.51,,-0.00,,,,,,,,,,,,,,
75,64,삼성,20,-59.3,698,1272.1,-59.3,7.1,-16.1,34.7,0.7,-3.0,0.0,0.0,-0.55,0.13,-0.68,1.42,0.18,-0.36,,,,,,,,,,,,,,,,
76,65,넥센,14,-59.5,530,1131.2,-59.5,4.4,-13.6,-14.9,12.9,-1.4,0.0,-9.7,-0.49,0.11,-0.73,-1.56,0.96,-0.46,,-0.05,,,,,,,,,,,,,,
77,66,SK,18,-61.3,634,1274.2,-61.3,42.4,18.2,-5.7,10.3,-11.8,-1.1,0.0,-0.60,0.95,0.62,-0.36,1.17,-0.95,-2.23,,,,,,,,,,,,,,,
78,67,삼성,18,-64.2,618,1285.1,-64.2,10.6,-3.2,-2.3,-9.0,-9.4,0.0,0.0,-0.61,0.24,-0.11,-0.08,-0.76,-1.28,,,,,,,,,,,,,,,,
79,68,NC,17,-67.2,620,1284.2,-67.2,43.2,-0.8,-5.8,1.8,5.8,0.0,-1.3,-0.73,0.77,-0.06,-0.29,0.11,0.29,,-0.04,,,,,,,,,,,,,,
